PlotID,Longitude,Latitude,CellID,CellY,CellX,Country,Author,Date of recording,Releve area (m2),Location uncertainty (m),Dataset
1005473,3.867835,51.816281,8544465,51.81236054375,3.87069370885,Netherlands,,15-6-2000,4,10,Netherlands
1005474,3.869315,51.815401,8544465,51.81236054375,3.87069370885,Netherlands,,15-6-2000,4,10,Netherlands
1005475,3.869201,51.815768,8544465,51.81236054375,3.87069370885,Netherlands,,23-6-2003,4,5,Netherlands
1005494,3.890571,51.806028,8549867,51.80402721045,3.88736037545,Netherlands,,7-9-1994,4,5,Netherlands
1005495,3.890571,51.806028,8549867,51.80402721045,3.88736037545,Netherlands,,22-8-2000,4,5,Netherlands
1005496,3.890571,51.806028,8549867,51.80402721045,3.88736037545,Netherlands,,4-9-2003,4,5,Netherlands
1005497,3.887532,51.8067,8549867,51.80402721045,3.88736037545,Netherlands,,22-8-2000,4,5,Netherlands
1005499,3.887532,51.8067,8549867,51.80402721045,3.88736037545,Netherlands,,11-9-2007,4,5,Netherlands
1005502,3.890719,51.804169,8549867,51.80402721045,3.88736037545,Netherlands,,1-7-1992,100,10,Netherlands
1005513,3.889243,51.806272,8549867,51.80402721045,3.88736037545,Netherlands,,4-9-2003,3.2,5,Netherlands
1005522,3.888909,51.808479,8544467,51.81236054375,3.88736037545,Netherlands,,8-9-1994,4,5,Netherlands
1005545,3.895794,51.795424,8555268,51.79569387715,3.89569370875,Netherlands,,7-6-2001,9,10,Netherlands
1005550,3.896428,51.797284,8555268,51.79569387715,3.89569370875,Netherlands,,11-9-2007,0.4,5,Netherlands
1005572,3.920139,51.812272,8544471,51.81236054375,3.92069370865,Netherlands,,10-5-2005,15,5,Netherlands
1005573,3.911161,51.808743,8544470,51.81236054375,3.91236037535,Netherlands,,16-5-1979,150,10,Netherlands
1005576,3.91117,51.808474,8544470,51.81236054375,3.91236037535,Netherlands,,25-5-2000,15,10,Netherlands
1005577,3.915848,51.808658,8544470,51.81236054375,3.91236037535,Netherlands,,13-5-2004,25,5,Netherlands
1005578,3.915223,51.808704,8544470,51.81236054375,3.91236037535,Netherlands,,16-5-1979,120,10,Netherlands
1005579,3.912525,51.811367,8544470,51.81236054375,3.91236037535,Netherlands,,23-5-1979,250,10,Netherlands
1005580,3.921067,51.811834,8544471,51.81236054375,3.92069370865,Netherlands,,7-6-2000,16,10,Netherlands
1005582,3.920819,51.811867,8544471,51.81236054375,3.92069370865,Netherlands,,15-5-2007,16,5,Netherlands
1005589,3.916006,51.806916,8549870,51.80402721045,3.91236037535,Netherlands,,16-5-1979,60,10,Netherlands
